District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Report_Date,Final_Report_Date,Report_Type,FR_ID
Yadgir,Narayanapura PS,0001/2016,1,2016,1,2016-01-12 01:30:00.000,2016-01-12 01:31:00.000,2016-01-12 13:00:00.000,12/01/2016,Non Heinous,Pending Trial,Oral,NEGLIGENT ACT,Machinery - Related,0.0,0.0,IPC 1860 U/s: 279 ,TIPPANNA   (PSI),1782401,,117300027,"NARAYANPUR-LINGSUGUR MAIN ROADNEAR BASAVASAGARDAM, NARAYANPUR-LINGSUGUR MAIN ROADNEAR BASAVASAGARDAM",6 KM TOWARDS SOUTH FROM THE PS,BEAT1,BASARIGIDAD TANDA,0,0,0,0,0,0,1,1,0,1,1,0,2016000001,1601,10978160120160001,2016-01-18 00:00:00.000,,,2016000022.0
Yadgir,Narayanapura PS,0002/2016,1,2016,1,2016-01-14 04:29:00.000,2016-01-14 04:30:00.000,2016-01-14 05:00:00.000,14/01/2016,Non Heinous,Pending Trial,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 109),0.0,0.0,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 109 ",RAJASHEKHAR   (ASI),133961,,158900226,"SRI VALMIKI CIRCLE NARAYANAPUR, SRI VALMIKI CIRCLE NARAYANAPUR",AT 1KM EAST FROM NARAYANAPUR PS,ARIA,NARAYANAPUR,0,0,0,0,0,0,1,1,0,1,1,0,2016000002,1601,10978160120160002,2016-01-14 00:00:00.000,,,2016000023.0
Yadgir,Narayanapura PS,0003/2016,1,2016,1,2016-01-19 09:00:00.000,2016-01-19 16:00:00.000,2016-01-22 17:30:00.000,22/01/2016,Non Heinous,Traced,Written,MISSING PERSON,Women,0.0,0.0,IPC 1860 U/s: 00MP ,TIPPANNA   (PSI),1782401,,117300027,"IN COMPLAINANT HOUSE NARAYANPUR, IN COMPLAINANT HOUSE NARAYANPUR",700 MTR TOWARDS NORTH FROM THE PS,ARIA,NARAYANAPUR,0,1,0,1,0,0,0,0,0,0,0,0,2016000003,1601,10978160120160003,,,,
Yadgir,Narayanapura PS,0004/2016,1,2016,2,2016-02-18 18:29:00.000,2016-02-18 18:30:00.000,2016-02-19 17:00:00.000,19/02/2016,Non Heinous,Pending Trial,Oral,RIOTS,Political,0.0,0.0,"IPC 1860 U/s: 143,147,148,341,323,324,504,506,149 ",TIPPANNA   (PSI),1782401,,117300027,"UPPALDINNI VILLAGE AREA, UPPALDINNI VILLAGE AREA",20 KM NORTH FROM PS,BEAT2,HAGARATGI,1,0,0,0,0,0,14,0,0,0,14,0,2016000005,1601,10978160120160004,2016-04-10 00:00:00.000,,,2016000030.0
Yadgir,Narayanapura PS,0005/2016,1,2016,2,2016-02-18 20:00:00.000,2016-02-18 20:01:00.000,2016-02-19 20:15:00.000,19/02/2016,Non Heinous,Pending Trial,Written,RIOTS,Political,0.0,0.0,"IPC 1860 U/s: 143,147,148,323,324,504,506,149 ",TIPPANNA   (PSI),1782401,,117300027,"INFRONT OF COMPLAINANTA HOUSE, INFRONT OF COMPLAINANTA HOUSE",AT 20 KM NORTH FROM PS,BEAT2,HAGARATGI,0,0,0,0,0,0,14,0,0,0,14,0,2016000006,1601,10978160120160005,2016-04-10 00:00:00.000,,,2016000031.0
Yadgir,Narayanapura PS,0006/2016,1,2016,2,2016-02-29 12:00:00.000,2016-02-29 12:01:00.000,2016-02-29 12:45:00.000,29/02/2016,Non Heinous,Pending Trial,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 110),0.0,0.0,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 110(E)(G) ",TIPPANNA   (PSI),1782401,,117300027,"NEAR BUSTAND NARAYANPUR, NEAR BUSTAND NARAYANPUR",2 KM TOWARDS EAST FROM THE PS,ARIA,NARAYANAPUR,0,0,0,0,0,0,1,1,0,1,1,0,2016000007,1601,10978160120160006,2016-02-29 00:00:00.000,,,2016000024.0
Yadgir,Narayanapura PS,0007/2016,1,2016,3,2016-03-03 15:00:00.000,2016-03-03 15:20:00.000,2016-03-03 17:00:00.000,03/03/2016,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"INFRONT OF ACCUSED HOUSE, INFRONT OF ACCUSED HOUSE",01 KM WEST FROM PS,ARIA,NARAYANAPUR,2,1,0,0,0,0,4,2,0,2,4,0,2016000008,1601,10978160120160007,2016-05-27 00:00:00.000,,,2016000032.0
Yadgir,Narayanapura PS,0008/2016,1,2016,3,2016-03-01 10:40:00.000,2016-03-01 10:41:00.000,2016-03-03 19:30:00.000,03/03/2016,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,0.0,0.0,"IPC 1860 U/s: 323,504,325 ",TIPPANNA   (PSI),1782401,,117300027,"IN NARAYANPUR POLICE STATION, IN NARAYANPUR POLICE STATION",.,ARIA,NARAYANAPUR,1,0,0,0,0,0,1,0,0,0,1,0,2016000009,1601,10978160120160008,2016-10-14 00:00:00.000,,,2016000056.0
Yadgir,Narayanapura PS,0009/2016,1,2016,3,2016-03-03 15:00:00.000,2016-03-03 15:01:00.000,2016-03-03 21:00:00.000,03/03/2016,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"IN NARAYANPUR VILLAGE, IN NARAYANPUR VILLAGE",1 KM TOWARDS EAST FROM THE PS,ARIA,NARAYANAPUR,1,0,0,0,0,0,4,0,0,0,4,0,2016000010,1601,10978160120160009,2016-05-27 00:00:00.000,,,2016000033.0
Yadgir,Narayanapura PS,0010/2016,1,2016,3,2016-03-01 23:40:00.000,2016-03-01 23:41:00.000,2016-03-04 13:30:00.000,04/03/2016,Heinous,Dis/Acq,Written,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,0.0,0.0,"IPC 1860 U/s: 353,504,506,34 ",PAWAR T R   (PI),1135904,,34700002,"IN NARAYANAPUR POLICE STATION, IN NARAYANAPUR POLICE STATION",IN NARAYANAPUR PLOLICE STATION,ARIA,NARAYANAPUR,0,0,0,0,1,0,2,0,0,0,2,0,2016000011,1601,10978160120160010,2016-05-31 00:00:00.000,,,2016000027.0
Yadgir,Narayanapura PS,0011/2016,1,2016,3,2016-03-12 12:30:00.000,2016-03-12 12:31:00.000,2016-03-13 19:00:00.000,13/03/2016,Non Heinous,Dis/Acq,Oral,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"JOGUNDABHAVI VILLAGE LIMITS IN COMPLAINANT FIELD, JOGUNDABHAVI VILLAGE LIMITS IN COMPLAINANT FIELD",4 KM TOWARDS NORTH FROM PS,BEAT1,BASARIGIDAD TANDA,0,1,0,0,0,0,4,0,0,0,4,0,2016000013,1601,10978160120160011,2016-05-10 00:00:00.000,,,2016000034.0
Yadgir,Narayanapura PS,0012/2016,1,2016,3,2016-03-16 16:30:00.000,2016-03-16 16:31:00.000,2016-03-17 19:00:00.000,17/03/2016,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0,0.0,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",CHANNABASAPPA   (ASI),1221882,,158900272,"KANAKA CIRCLE NEAR IN JOGUNDABHAVI VILLAGE, KANAKA CIRCLE NEAR IN JOGUNDABHAVI VILLAGE",8 KM TOWARDS NORTH FROM PS,BEAT1,BASARIGIDAD TANDA,0,0,0,0,0,0,4,4,0,4,4,0,2016000014,1601,10978160120160012,2016-03-21 00:00:00.000,,,2016000025.0
Yadgir,Narayanapura PS,0013/2016,1,2016,3,2015-12-25 09:00:00.000,2015-12-25 17:00:00.000,2016-03-28 17:00:00.000,28/03/2016,Heinous,Pending Trial,Written,THEFT,Other Items Not Included Above,0.0,0.0,"IPC 1860 U/s: 447,379,504,34 ",PAWAR T R   (PI),1135904,,34700002,"HAGARATAGI VILLAGE FIELD SERVE NO:395/2 IN FIELD, HAGARATAGI VILLAGE FIELD SERVE NO:395/2 IN FIELD",25 KM TOWARDS NORTH FROM PS,BEAT2,HAGARATGI,0,0,0,0,0,0,2,0,0,0,2,0,2016000015,1601,10978160120160013,2017-03-09 00:00:00.000,,,2017000009.0
Yadgir,Narayanapura PS,0014/2016,1,2016,3,2016-03-30 20:00:00.000,2016-03-30 20:01:00.000,2016-03-31 09:00:00.000,31/03/2016,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,0.0,0.0,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181 ",PAWAR T R   (PI),1135904,,34700002,"ON THE KBJNL MAIN CANAL NEAR 6 KMS CANAL BRIDGE, ON THE KBJNL MAIN CANAL NEAR 6 KMS CANAL BRIDGE",9 KMS WEST FROM PS,BEAT3,YARAKIHAL,1,0,0,0,0,0,1,0,0,0,1,0,2016000016,1601,10978160120160014,2016-07-13 00:00:00.000,,,2016000028.0
Yadgir,Narayanapura PS,0015/2016,1,2016,4,2016-03-31 18:00:00.000,2016-03-31 18:01:00.000,2016-04-01 18:30:00.000,01/04/2016,Non Heinous,Convicted,Written,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 341,323,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"BASARAGIDAD TANDA CROSS, BASARAGIDAD TANDA CROSS",AT 08KM NORTH FROM PS,BEAT1,BASARIGIDAD TANDA,1,0,0,0,0,0,2,0,0,0,2,2,2016000017,1601,10978160120160015,2016-05-10 00:00:00.000,,,2016000035.0
Yadgir,Narayanapura PS,0016/2016,1,2016,4,2016-04-16 15:00:00.000,2016-04-16 15:01:00.000,2016-04-16 17:30:00.000,16/04/2016,Non Heinous,Pending Trial,Oral,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"NEAR SHRI HANUMAN TEMPLE KAMALPUR, NEAR SHRI HANUMAN TEMPLE KAMALPUR",14KM TOWARDS NORTH FROM PS,BEAT3,YARAKIHAL,1,0,0,0,0,0,2,2,0,2,2,0,2016000018,1601,10978160120160016,2016-08-05 00:00:00.000,,,2016000049.0
Yadgir,Narayanapura PS,0017/2016,1,2016,4,2016-04-18 20:00:00.000,2016-04-18 20:01:00.000,2016-04-18 21:15:00.000,18/04/2016,Non Heinous,Dis/Acq,Oral,RIOTS,Land Disputes,0.0,0.0,"IPC 1860 U/s: 143,147,148,323,324,307,354,504,506,149 ",TIPPANNA   (PSI),1782401,,117300027,"INFRONT OF COMPLAINANT SISTER HOUSE IN GADDADTANDA, INFRONT OF COMPLAINANT SISTER HOUSE IN GADDADTANDA",4 KM TOWARDS NORTH FROM PS,BEAT1,BASARIGIDAD TANDA,1,1,0,0,0,0,5,1,0,1,3,0,2016000019,1601,10978160120160017,2016-06-28 00:00:00.000,,,2016000036.0
Yadgir,Narayanapura PS,0018/2016,1,2016,4,2016-04-19 07:00:00.000,2016-04-19 07:01:00.000,2016-04-19 08:00:00.000,19/04/2016,Non Heinous,Pending Trial,Oral,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"COMPLAINANT HOUSE OPP IN ROAD  YENNIVADAGERA, COMPLAINANT HOUSE OPP IN ROAD  YENNIVADAGERA",15 KM TOWARDS NORTH FROM PS,BEAT3,YARAKIHAL,2,0,0,0,0,0,3,2,0,2,3,0,2016000020,1601,10978160120160018,2016-06-28 00:00:00.000,,,2016000050.0
Yadgir,Narayanapura PS,0019/2016,1,2016,4,2016-04-19 07:00:00.000,2016-04-19 07:01:00.000,2016-04-19 09:15:00.000,19/04/2016,Non Heinous,Pending Trial,Oral,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"ACCUSED HOUSE OPP IN ROAD  YENNIVADAGERA VILLAGE, ACCUSED HOUSE OPP IN ROAD  YENNIVADAGERA VILLAGE",15 KM TOWARDS NORTH FROM PS,BEAT3,YARAKIHAL,3,0,0,0,0,0,3,3,0,3,3,0,2016000021,1601,10978160120160019,2016-06-28 00:00:00.000,,,2016000037.0
Yadgir,Narayanapura PS,0020/2016,1,2016,4,2016-04-18 20:00:00.000,2016-04-18 20:01:00.000,2016-04-19 17:00:00.000,19/04/2016,Non Heinous,Dis/Acq,Oral,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,506,34 ",TIPPANNA   (PSI),1782401,,117300027,"INFRONT OF BOODEPPA DAUGHTER HOUSE IN GADDADATANDA, INFRONT OF BOODEPPA DAUGHTER HOUSE IN GADDADATANDA",4 KM TOWARDS NORTH FROM PS,BEAT1,BASARIGIDAD TANDA,1,1,0,0,0,0,4,2,2,4,4,0,2016000022,1601,10978160120160020,2016-06-19 00:00:00.000,,,2016000038.0
Yadgir,Narayanapura PS,0021/2016,1,2016,4,2016-04-20 10:00:00.000,2016-04-20 10:01:00.000,2016-04-21 11:00:00.000,21/04/2016,Non Heinous,Pending Trial,Written,MOLESTATION,Other Places,0.0,0.0,"IPC 1860 U/s: 323,354,504 ",TIPPANNA   (PSI),1782401,,117300027,"NEAR BASAPPA GADDI FIELD IN YENNIVADAGERA, NEAR BASAPPA GADDI FIELD IN YENNIVADAGERA",15 KM TOWARDS WEST FROM PS,BEAT3,YARAKIHAL,0,1,0,0,0,0,1,0,0,0,1,0,2016000023,1601,10978160120160021,2016-08-04 00:00:00.000,,,2016000051.0
Yadgir,Narayanapura PS,0022/2016,1,2016,5,2016-01-05 00:00:00.000,2016-05-06 13:00:00.000,2016-05-06 14:00:00.000,06/05/2016,Non Heinous,Pending Trial,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0,0.0,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",TIPPANNA   (PSI),1782401,,117300027,"KUREKNAL VILLAGE, KUREKNAL VILLAGE",20 KM TOWARDS NORTH FROM PS,BEAT3,YARAKIHAL,0,0,0,0,0,0,2,0,0,0,2,0,2016000024,1601,10978160120160022,2016-05-06 00:00:00.000,,,2016000039.0
Yadgir,Narayanapura PS,0023/2016,1,2016,5,2016-01-05 00:00:00.000,2016-05-06 13:00:00.000,2016-05-06 14:15:00.000,06/05/2016,Non Heinous,Pending Trial,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0,0.0,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",TIPPANNA   (PSI),1782401,,117300027,"KUREKNAL VILLAGE, KUREKNAL VILLAGE",20 KM TOWARDS NORTH FROM PS,BEAT3,YARAKIHAL,0,0,0,0,0,0,1,0,0,0,1,0,2016000025,1601,10978160120160023,2016-05-06 00:00:00.000,,,2016000040.0
Yadgir,Narayanapura PS,0024/2016,1,2016,5,2016-05-15 09:30:00.000,2016-05-15 09:31:00.000,2016-05-15 10:30:00.000,15/05/2016,Non Heinous,Pending Trial,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 110),0.0,0.0,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 110(E)(G) ",TIPPANNA   (PSI),1782401,,117300027,"NEAR AGASI YARAKIHAL VILLAGE IN PUBLIC PLACE, NEAR AGASI YARAKIHAL VILLAGE IN PUBLIC PLACE",15 KM TOWARDS NORTH FROM PS,BEAT3,YARAKIHAL,0,0,0,0,0,0,1,1,0,1,1,0,2016000026,1601,10978160120160024,2016-05-15 00:00:00.000,,,2016000041.0
Yadgir,Narayanapura PS,0025/2016,1,2016,5,2016-05-15 16:00:00.000,2016-05-15 16:01:00.000,2016-05-16 18:00:00.000,16/05/2016,Non Heinous,Pending Trial,Oral,CASES OF HURT,Simple Hurt ,0.0,0.0,"IPC 1860 U/s: 323,324,504,34 ",TIPPANNA   (PSI),1782401,,117300027,"INFRONT OF HANUMAN TEMPLE IN KAMALAPUR VILLAGE, INFRONT OF HANUMAN TEMPLE IN KAMALAPUR VILLAGE",14 KM TOWARDS WEST FROM PS,BEAT3,YARAKIHAL,1,0,0,0,0,0,2,2,0,2,2,0,2016000027,1601,10978160120160025,2016-05-27 00:00:00.000,,,2016000057.0
